,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
2830,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
925,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
3845,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
547,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7
2259,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13
3588,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
1450,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
2827,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,8
2233,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17
611,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4
2337,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11
3896,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,14
1948,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10
2077,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
742,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
637,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
2429,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9
3500,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
2696,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9
1097,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
2346,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
48,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
3909,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10
921,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
3792,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13
756,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
2619,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8
3610,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9
3900,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,15
2453,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
3828,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
1498,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
3687,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
836,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
2932,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
3163,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9
4022,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11
1456,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
2986,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13
1511,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
1070,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
3916,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,10
3964,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
2123,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6
2704,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,10
3835,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,7
3000,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
3336,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
2230,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
3078,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
3286,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14
2535,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
2408,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15
2775,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
3091,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
2798,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
3796,0.675,0.54,0.21,1.593,0.686,0.318,0.45,11
4102,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
1569,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,8
3340,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
2531,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,10
1407,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
867,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
926,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
4168,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
997,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
3215,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11
1099,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
1132,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
3435,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
1738,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,11
210,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
1910,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10
59,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
1211,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
1965,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
1572,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
4118,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
3217,0.425,0.34,0.12,0.388,0.149,0.087,0.125,10
765,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
2238,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
1378,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
1078,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
1362,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
2284,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9
3168,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15
3631,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
3574,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9
582,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
2091,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
1907,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
3386,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13
940,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
